HISTORY,CVP,PCWP,HYPOVOLEMIA,LVEDVOLUME,LVFAILURE,STROKEVOLUME,ERRLOWOUTPUT,HRBP,HREKG,ERRCAUTER,HRSAT,INSUFFANESTH,ANAPHYLAXIS,TPR,EXPCO2,KINKEDTUBE,MINVOL,FIO2,PVSAT,SAO2,PAP,PULMEMBOLUS,SHUNT,INTUBATION,PRESS,DISCONNECT,MINVOLSET,VENTMACH,VENTTUBE,VENTLUNG,VENTALV,ARTCO2,CATECHOL,HR,CO,BP
2.2893,4.9462,5.1975,1.1739,4.6992,2.0621,6.4710,1.0375,24.5544,24.5096,0.2723,25.4094,0.6775,0.1082,1.8418,9.5355,0.2134,5.4487,0.2545,6.4604,12.5800,1.2839,0.6974,3.8977,0.1335,4.4962,0.3199,0.8522,1.9287,2.5230,2.9536,5.2778,5.4320,20.7148,22.6204,30.0601,32.0714
0.3060,3.7307,3.1503,0.0676,2.1712,0.1417,0.3014,0.4672,39.0647,38.2946,0.5125,39.2471,2.2446,0.1694,1.1249,16.0579,0.1167,8.2539,1.7296,11.0299,22.7471,3.1877,3.0795,8.2873,1.5307,7.4599,1.3396,2.1345,2.2254,4.5161,6.5521,8.6418,8.8721,36.7690,37.3686,37.7356,40.8042
4.4058,4.5971,4.5467,0.6722,3.9337,0.9476,1.8881,0.5890,22.6470,19.6499,0.7204,19.1730,0.0534,2.6110,2.7288,12.1979,1.5679,7.0134,0.3111,6.2085,7.8876,2.8378,0.2122,0.6044,0.0846,5.8688,0.3126,1.1783,2.9358,3.4732,5.3465,5.7270,6.2989,17.8583,18.3720,20.8048,23.6877
6.6928,4.8007,4.5054,0.7850,4.2741,2.6768,4.2927,0.7905,28.7298,29.0760,0.0119,28.0964,0.5654,0.3668,0.6185,18.3533,0.2365,9.2228,2.2328,11.4300,14.1257,1.2483,0.4441,2.5399,0.9950,5.2959,1.8503,1.3677,1.4988,3.8358,7.0991,8.7234,9.1975,27.0682,27.1103,33.4548,36.6588
1.6147,5.1467,4.9933,0.1312,4.8281,1.4814,1.6141,2.0770,29.6178,27.3343,0.0607,33.9362,0.7125,0.9529,0.9740,14.5979,1.3677,5.5553,0.3762,12.8784,14.8334,0.7833,0.6479,1.7312,0.9881,4.3984,0.2364,0.0488,0.3410,0.6323,4.5305,8.2958,9.9308,26.5808,26.9843,28.6427,29.7177
1.0254,2.8457,4.5828,0.0086,2.3154,0.3694,0.5822,4.8391,37.0984,33.1689,0.9168,34.5457,1.0810,0.0706,2.0086,19.1411,0.8375,6.8784,0.0510,10.0214,12.4840,1.2986,0.9679,1.5095,0.3098,7.6143,0.5063,1.8480,3.0323,4.2371,6.1655,9.2363,10.8462,29.5036,32.1799,33.3749,35.4754
1.6393,4.7428,6.1827,0.6887,4.4218,1.3186,2.2881,0.0916,28.9358,29.4963,0.1320,28.9996,0.4065,0.1460,0.5808,20.9221,1.9354,10.5567,0.1312,13.7658,15.5887,0.2125,0.0201,0.5307,0.0156,8.7288,1.7846,2.9753,4.4515,6.2735,9.2034,10.0839,10.5772,28.7042,28.8096,33.6678,34.2573
3.4619,4.8179,4.3505,0.9094,4.2783,1.3538,2.4022,1.7935,19.2501,20.9073,2.6209,19.6369,0.4861,2.2811,3.0828,10.0051,0.0383,5.4870,0.5115,4.6432,5.5550,0.4022,0.1199,0.8582,0.1611,3.1012,0.5402,0.3447,1.0426,1.6652,3.1856,3.6748,4.3484,16.8123,16.8602,19.6533,22.8089
2.0922,1.7764,2.4204,1.0807,1.6899,0.4467,1.9651,0.4024,29.7629,30.6854,0.0292,30.0138,1.0286,0.8254,3.0639,16.9814,0.7553,9.9720,1.5362,11.5989,13.7215,1.2944,0.4068,1.1449,0.6749,8.1781,1.2460,1.3949,1.6268,4.9349,7.1343,8.3142,9.6259,27.8104,29.2859,31.2974,34.6661
2.2854,4.2549,3.7497,0.4540,3.5432,1.2769,3.5776,1.5569,27.6665,28.6247,2.6846,30.5631,0.6163,2.4849,5.6760,12.4676,0.7917,8.0798,0.3985,7.9497,9.6492,0.6528,0.1932,1.1507,0.2989,5.0092,0.2941,3.3272,3.3791,3.6748,5.4358,6.5412,6.6317,25.3991,25.4816,32.8863,39.4407
2.3858,3.5267,3.3939,1.1539,3.3881,1.7207,3.4154,0.1329,22.2139,22.8336,0.6908,22.7090,0.5809,0.5015,1.8801,14.0884,0.2557,4.7889,0.5485,6.5275,8.5811,1.4917,0.9383,1.1194,0.1183,4.7796,0.1789,1.3694,1.5589,4.2294,4.6308,5.4998,8.1690,21.3846,22.0027,25.4909,29.5729
1.6561,1.6137,1.5323,0.6056,1.5005,0.8013,2.4698,0.3648,25.7927,25.4114,0.1289,24.6445,2.5865,0.3968,0.5903,13.4484,2.4407,8.0039,1.5966,8.7398,10.7772,0.3200,0.0095,2.0029,1.4613,5.1917,0.0174,0.4066,0.8596,1.1218,5.5259,7.0402,7.3464,21.4415,24.4867,27.3408,28.8464
0.2785,0.6172,3.3233,0.0511,0.3892,0.1005,0.7970,0.7367,19.7114,19.4875,0.2716,18.6684,1.0706,0.2565,0.3698,10.8590,1.1629,5.3869,0.0315,5.1943,8.4091,3.4709,1.3160,2.1107,0.0593,6.8020,0.2621,0.5185,2.2169,2.5609,3.9153,5.0075,6.3918,17.2966,18.3088,22.6280,24.4828
1.5796,5.4788,5.6541,2.7092,5.2941,0.9493,3.7244,1.0373,25.4714,24.2749,0.2845,24.8460,0.4788,0.2028,2.7110,15.6551,0.7870,7.0350,0.0990,7.8375,11.1529,0.9606,0.6723,2.8650,0.8692,6.9243,0.7193,0.2981,2.4323,3.9853,5.7469,7.1842,7.5506,23.6699,23.7440,29.1326,33.6237
1.6936,7.4279,6.8191,1.9917,6.3405,1.6327,3.7000,0.0719,42.7842,48.8696,1.2297,44.1457,0.4031,0.7392,2.3260,22.3431,0.2744,11.6040,1.2546,12.7372,24.4078,1.9811,0.3614,4.0887,0.5793,7.1989,0.7889,4.4626,4.5740,5.6564,9.4979,11.0637,11.9867,41.7677,42.5352,46.4758,49.7770
0.5436,2.6731,2.4773,1.7247,2.4125,0.1729,6.7575,1.3328,35.2182,32.8154,0.0038,32.3400,0.6215,0.6527,0.7928,24.7028,2.2201,11.1054,0.1074,14.9056,16.3030,1.3118,0.5485,1.1857,0.4437,9.2875,1.3603,0.8258,2.6654,5.1565,8.9766,13.3811,13.3907,31.9229,31.9895,38.8617,40.1940
2.5536,8.7972,9.7767,5.4857,8.5336,2.0423,8.0848,1.2778,35.4738,34.2582,0.1979,33.7620,1.1359,1.4627,2.3033,21.0743,0.5760,11.8098,2.7894,13.3048,18.0279,1.2651,0.5955,1.5542,0.8336,9.4451,2.9863,1.9387,3.4161,6.7858,9.1853,10.1990,10.5683,33.2828,33.5030,41.7570,45.0068
2.0640,1.8423,2.9938,0.0118,1.7556,1.7400,2.4069,1.2888,24.2317,23.4528,0.4404,23.5001,0.8643,1.5175,2.1211,10.5388,0.8509,4.1802,0.2302,6.5297,10.9587,3.1992,1.3999,3.8151,0.3564,2.5854,0.5562,0.0137,0.5557,1.1872,2.9172,5.6376,6.7767,21.7600,22.8183,25.8923,28.6677
0.6992,3.9664,3.1576,1.0046,2.1871,0.5407,2.2873,3.1260,42.0145,35.8752,0.1827,36.9167,2.0048,1.0824,5.2328,20.2419,0.0724,9.0113,0.2055,11.2349,15.2843,0.3933,0.3277,3.2293,0.4705,7.4427,1.4102,4.3683,4.9558,6.6549,8.1615,10.8390,11.0770,35.2242,35.4547,37.9662,44.1349
1.5286,3.9440,3.7739,0.9005,2.1732,1.1118,2.2965,0.0933,41.0062,43.5352,0.4809,41.7639,0.3053,0.4936,0.5628,30.6854,4.3894,15.5432,0.1362,17.0616,21.8995,1.6053,1.4395,3.1636,0.6751,15.4902,1.7754,0.9783,6.9395,9.2186,14.6615,15.4527,15.7432,40.5519,40.7004,43.8235,44.6298
3.0414,2.1125,2.8565,0.3178,1.9160,0.0591,0.7683,1.1620,22.2443,22.2066,0.6018,22.5658,3.2932,0.1157,0.4892,13.4571,1.9325,6.4704,0.7726,6.2570,10.3861,1.5498,1.1349,2.5578,0.1662,3.8444,0.1040,0.1913,0.2764,1.7390,5.2725,5.4753,6.5843,20.7550,20.7877,21.8133,22.6988
