BirthAsphyxia,HypDistrib,HypoxiaInO2,CO2,ChestXray,Grunting,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,Disease,GruntingReport,Age,LVH,DuctFlow,CardiacMixing,LungParench,LungFlow,Sick
0.7689,5.1222,6.6636,4.4798,6.0142,6.7251,4.5735,13.2375,7.0700,4.8322,6.1227,1.5010,7.1417,5.0725,1.5171,1.6247,1.9878,4.3401,1.6378,1.7717
2.3470,8.8988,11.3354,6.9261,11.5624,9.4783,7.3768,20.5377,12.0447,7.9379,11.9609,2.6487,10.9064,6.5886,6.1622,3.1186,5.5756,5.0538,4.7338,3.5759
0.4945,6.1526,5.1927,3.5442,12.1219,5.8210,2.2479,11.7166,6.2775,4.1729,13.7140,1.6835,6.0647,5.2113,1.8243,3.3961,2.0455,3.0803,6.8889,2.6027
0.6424,6.6363,3.4991,3.1958,6.6723,5.2224,4.3515,10.3932,5.8760,3.3040,7.0146,0.9684,8.6551,5.1759,1.0399,1.5225,1.0116,1.7676,2.7215,1.8122
0.7574,6.0574,5.7815,3.8204,6.5470,10.5021,4.0675,11.9028,6.9763,4.0898,8.0967,2.5254,10.9465,6.1919,3.6564,3.3758,2.6507,2.8274,3.2111,3.1557
0.9374,10.7685,9.5714,5.9996,9.7999,9.9454,7.4993,20.6071,9.9148,6.1061,11.4900,4.2804,10.8911,9.7460,4.6380,4.7230,4.5458,4.4549,4.7858,4.7625
0.6425,3.7202,7.4042,6.1419,7.5946,6.2592,1.8881,11.3589,8.3622,7.0019,10.6614,0.7542,8.1416,2.9239,1.6335,1.8546,1.5061,3.7044,3.5334,1.5498
0.6537,6.1966,3.9132,3.2344,4.1496,4.1996,2.0616,10.7154,4.4942,3.6367,4.4302,0.8632,4.5350,2.8754,1.0437,3.0848,1.0783,2.5619,1.0976,1.3175
0.2470,3.5141,4.6587,2.7218,3.7827,5.7383,8.0848,8.9018,6.2900,3.8033,4.4371,0.9717,5.9742,4.4026,2.8400,2.1101,1.1897,2.5074,1.1613,1.9545
0.5525,7.2057,7.9445,3.1565,5.3997,6.7168,2.8634,16.6219,8.1832,4.2729,6.5505,2.0261,6.7784,6.2544,2.7982,2.1158,5.0764,2.3409,2.9877,3.7186
0.8084,6.6096,4.8277,4.4800,3.7098,4.7380,1.9661,13.7383,6.0101,5.1886,4.1189,1.6259,5.0742,4.5492,1.8454,3.5081,2.2188,1.7007,1.6718,1.9409
0.3510,3.2498,4.5260,1.7507,7.3484,4.3811,2.3607,8.0650,5.4206,1.8580,7.3501,0.7301,4.9285,3.4834,1.8558,1.3544,1.1313,1.7502,2.0851,2.3280
0.4332,6.4857,4.4748,1.9260,6.0398,4.4084,8.5010,11.7093,4.4936,2.1800,6.9464,1.2533,5.9599,4.5037,2.1094,3.5637,1.8871,1.2573,1.4565,2.9952
0.0061,13.5002,12.0712,4.6409,10.6369,10.1126,6.3644,26.0675,15.6294,5.5244,10.6809,3.7728,11.9166,10.7398,5.9860,6.7888,4.2054,4.5756,5.3862,4.3385
1.0326,3.2280,3.5680,2.5744,6.7029,5.8006,1.9039,7.7136,5.0480,3.3039,7.5999,1.2281,6.0620,5.2481,1.7778,1.7759,1.4036,2.0331,3.5689,2.4089
2.2893,6.2919,9.2808,6.2762,10.5963,11.5215,3.3935,16.0488,10.5098,8.0554,10.7741,2.8584,11.5248,9.2887,2.9771,2.8656,2.9065,5.5393,2.9957,5.3027
0.1656,2.0952,2.4120,2.7206,2.7013,3.4653,4.3290,4.6149,2.7161,4.4677,4.8065,0.7091,5.5185,2.8345,4.0549,1.1735,0.8051,0.7488,1.7582,1.7857
0.0284,2.9006,3.4771,2.6685,3.9598,4.4309,4.7931,8.4740,3.7834,4.2005,4.8260,0.6490,4.4469,3.5804,1.2275,1.3307,1.2953,2.1718,0.6799,1.9014
0.4780,16.0601,15.1749,8.1301,16.2474,15.7973,8.0032,31.5685,17.1675,9.2568,16.3726,7.1786,17.3757,15.5045,7.4797,8.3809,7.2154,7.8516,7.5600,7.5701
1.5346,6.5728,6.4881,5.0593,7.0202,5.6512,3.0706,13.7401,7.8569,5.8459,8.0039,1.8890,5.7909,4.5452,2.6822,2.1698,2.4174,2.4644,4.0796,2.2442
4.2620,14.1450,15.0407,6.3880,15.7373,12.5036,6.4882,29.3813,15.8779,7.5981,17.5597,5.4854,12.8211,12.2097,5.8525,5.6525,8.0970,6.0215,9.4340,5.8252
3.8493,13.7414,18.2931,10.7669,17.1204,17.0581,9.0302,32.3970,19.3802,11.6518,18.7068,6.1029,17.5796,14.4310,8.6394,7.0306,6.6622,10.2491,6.6540,6.7936
0.4864,7.9397,6.1033,2.3279,4.9008,5.4778,2.4258,15.1192,6.6451,3.2561,4.9639,1.3883,5.6510,5.3733,1.4008,1.4138,3.6132,1.6971,2.3006,2.7644
0.7397,7.0875,6.3511,2.0674,3.6321,6.8204,5.9372,14.7102,11.0051,2.1652,6.9319,1.4027,7.0087,5.8297,2.2051,2.1102,4.2116,1.9908,1.5122,3.3946
0.0247,6.2161,7.6415,7.7158,4.4070,2.5273,2.0128,14.3913,8.9536,9.7891,4.6136,0.0282,4.2147,0.3020,1.0764,5.6323,0.4721,1.7638,2.6125,0.2316
1.0543,4.2861,8.5387,4.4046,8.2977,6.0577,3.0204,13.8949,10.4837,4.6374,9.0789,1.2958,8.7052,3.1532,2.2398,2.0073,1.3665,4.3887,1.7190,1.6198
0.0676,2.9110,6.6842,3.9168,9.4379,7.6215,3.3346,10.7836,7.6124,5.6990,9.4746,1.1013,8.0091,3.9314,1.3043,1.5191,1.3802,3.7227,1.8424,1.9053
0.5226,3.3305,5.0949,2.1737,4.2441,2.2764,6.5972,9.8826,5.9439,2.4942,5.9166,0.5370,2.9489,2.6480,5.3434,0.8537,1.0793,1.4596,1.2665,0.7619
2.5076,16.0439,18.5283,7.4924,14.0517,14.8371,7.2006,34.8428,22.4290,9.2693,14.3078,6.3425,15.1067,14.6713,6.5143,8.9145,6.8343,6.5731,6.6822,7.7785
0.3427,4.5887,6.1351,4.7389,6.6370,7.4509,5.6572,10.7579,6.6697,6.5126,8.0896,1.4218,8.9605,3.6514,2.4862,2.4608,1.9748,4.0150,2.5327,1.8296
0.3874,6.0462,3.7993,1.5906,5.1436,5.1914,4.0134,10.5394,5.1093,1.5953,5.8079,1.5391,6.0499,6.0339,3.1569,1.9219,1.9886,1.5728,2.6433,3.1610
0.4606,5.2147,5.2628,5.0330,5.5042,7.7506,2.5717,11.4664,5.5260,5.8891,9.4161,1.5490,8.0828,6.8316,2.1268,2.2856,2.2005,2.7183,2.7690,3.1447
0.1646,3.0325,3.5818,1.9239,3.3126,2.8414,1.9750,8.1418,3.9042,2.9522,5.0942,0.2995,2.9444,2.5578,1.0039,1.9145,0.6519,0.9729,0.4434,1.7273
0.1016,5.7192,6.0766,3.2592,6.0881,8.0718,4.1873,12.2529,6.1351,3.4647,7.4046,1.7448,8.2529,7.4393,2.9069,2.6525,3.0417,2.5502,2.8264,5.5074
0.2323,4.0213,3.4535,1.8810,5.6511,2.8955,2.3858,8.9211,4.5554,2.7165,5.9064,0.3903,3.3904,4.3497,1.7145,0.6453,2.2342,0.7178,1.8518,1.8670
2.1440,10.6009,8.9053,4.3550,9.0969,7.7932,4.8752,20.1605,9.2838,4.5168,9.9806,2.4659,8.0879,8.7216,4.6151,4.6995,4.5085,4.0634,3.9536,3.0624
0.8126,6.7099,6.1877,3.9534,7.2265,5.1425,3.4155,13.3840,7.0189,4.2126,7.5699,0.9520,7.2894,5.7571,1.8544,4.8343,1.6120,3.7314,1.9896,1.2274
0.4886,4.7181,9.1716,4.6306,5.0445,6.2027,4.9535,15.5989,10.7968,4.6995,5.2745,1.4508,6.8258,3.9819,3.2610,1.6447,2.6707,3.4706,1.5489,1.9880
0.8054,5.7497,6.6196,4.9243,4.2120,6.4621,2.3679,12.4969,6.6410,5.1052,4.7380,1.8060,9.0065,5.7048,2.1563,3.4062,2.0822,1.8346,2.2327,3.6242
0.4293,12.3715,7.2493,2.7690,5.2505,4.1379,1.8783,19.8613,7.9874,3.0761,6.5693,1.3683,4.4032,4.8830,1.4913,6.6017,2.9781,2.1462,1.4606,1.3975
